LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G000431015	s__Alistipes sp. CAG:514
G000431035	s__Clostridium sp. CAG:226
G000431075	s__Firmicutes bacterium CAG:555
G000431095	s__Blautia hydrogenotrophica CAG:147
G000431115	s__Clostridium sp. CAG:715
G000431135	s__Clostridium sp. CAG:590
G000431175	s__Clostridium bolteae CAG:59
G000431195	s__Prevotella sp. CAG:255
G000431295	s__Acidaminococcus intestini CAG:325
G000431315	s__Brachyspira sp. CAG:484
G000431355	s__Ruminococcus sp. CAG:60
G000431415	s__Peptostreptococcus anaerobius CAG:621
G000431435	s__Veillonella sp. CAG:933
G000431455	s__Parasutterella excrementihominis CAG:233
G000431495	s__Firmicutes bacterium CAG:791
G000431515	s__Clostridium sp. CAG:632
G000431535	s__Clostridium sp. CAG:678
G000431555	s__Clostridium sp. CAG:306
G000431575	s__Firmicutes bacterium CAG:83
G000431615	s__Firmicutes bacterium CAG:41
G000431655	s__Clostridium nexile CAG:348
G000431695	s__Eubacterium sp. CAG:146
G000431775	s__Clostridium sp. CAG:413
G000431835	s__Succinatimonas sp. CAG:777
G000431855	s__Clostridium sp. CAG:352
G000431875	s__Firmicutes bacterium CAG:24
G000431895	s__Eubacterium sp. CAG:603
G000431915	s__Prevotella sp. CAG:386
G000431935	s__Prevotella sp. CAG:487
G000431955	s__Clostridium leptum CAG:27
G000431995	s__Clostridium sp. CAG:81
G000432075	s__Ruminococcus sp. CAG:724
G000432115	s__Ruminococcus torques CAG:61
G000432175	s__Eubacterium sp. CAG:786
G000432215	s__Anaerostipes sp. CAG:276
G000432275	s__Proteobacteria bacterium CAG:495
G000432315	s__Clostridium sp. CAG:264
G000432395	s__Butyrivibrio crossotus CAG:259
G000432435	s__Eubacterium sp. CAG:180
G000432475	s__Clostridium sp. CAG:127
G000432515	s__Bacteroides sp. CAG:545
G000432575	s__Clostridium sp. CAG:762
G000432655	s__Bacteroides sp. CAG:1060
G000432755	s__Roseburia sp. CAG:380
G000432875	s__Firmicutes bacterium CAG:466
G000432935	s__Odoribacter laneus CAG:561
G000432975	s__Clostridium sp. CAG:349
G000433015	s__Firmicutes bacterium CAG:631
G000433035	s__Staphylococcus sp. CAG:324
G000433095	s__Clostridium sp. CAG:967
G000433115	s__Ruminococcus sp. CAG:382
G000433155	s__Clostridium sp. CAG:122
G000433175	s__Prevotella sp. CAG:1058
G000433215	s__Dorea sp. CAG:105
G000433235	s__Acinetobacter sp. CAG:196
G000433255	s__Coprobacillus sp. CAG:605
G000433275	s__Dialister invisus CAG:218
G000433295	s__Coprococcus eutactus CAG:665
G000433355	s__Alistipes sp. CAG:435
G000433375	s__Bacteroides faecis CAG:32
G000433415	s__Clostridium sp. CAG:448
G000433455	s__Mycoplasma sp. CAG:877
G000433475	s__Mycoplasma sp. CAG:956
G000433515	s__Firmicutes bacterium CAG:272
G000433575	s__Bacteroides caccae CAG:21
G000433635	s__Ruminococcus sp. CAG:254
G000433735	s__Clostridium sp. CAG:167
G000433755	s__Clostridium sp. CAG:465
G000433875	s__Firmicutes bacterium CAG:884
G000433915	s__Clostridium sp. CAG:793
G000433935	s__Odoribacter sp. CAG:788
G000433955	s__Parabacteroides merdae CAG:48
G000433975	s__Anaerotruncus sp. CAG:528
G000433995	s__Firmicutes bacterium CAG:313
G000434055	s__Ruminococcus sp. CAG:488
G000434095	s__Bacteroides fragilis CAG:47
G000434115	s__Roseburia sp. CAG:309
G000434135	s__Acetobacter sp. CAG:267
G000434155	s__Bacteroides pectinophilus CAG:437
G000434195	s__Clostridium sp. CAG:780
G000434255	s__Ruminococcus sp. CAG:379
G000434295	s__Acetobacter sp. CAG:977
G000434355	s__Firmicutes bacterium CAG:536
G000434395	s__Clostridium sp. CAG:568
G000434435	s__Firmicutes bacterium CAG:475
G000434455	s__Prevotella sp. CAG:5226
G000434475	s__Dialister sp. CAG:486
G000434515	s__Prevotella sp. CAG:604
G000434675	s__Faecalibacterium sp. CAG:1138
G000434735	s__Bacteroides sp. CAG:530
G000434775	s__Eggerthella sp. CAG:368
G000434815	s__Proteobacteria bacterium CAG:139
G000434835	s__Clostridium sp. CAG:594
G000434855	s__Sutterella sp. CAG:397
G000434915	s__Ruminococcus sp. CAG:563
G000434955	s__Firmicutes bacterium CAG:65
G000434975	s__Prevotella sp. CAG:520
G000435055	s__Clostridium sp. CAG:138
G000435075	s__Bacteroides sp. CAG:770
G000435155	s__Dialister sp. CAG:357
G000435175	s__Clostridium sp. CAG:245
G000435275	s__Clostridium sp. CAG:557
G000435335	s__Clostridium sp. CAG:964
G000435355	s__Clostridium sp. CAG:91
G000435395	s__Firmicutes bacterium CAG:94
G000435455	s__Clostridium sp. CAG:242
G000435475	s__Cryptobacterium sp. CAG:338
G000435495	s__Firmicutes bacterium CAG:552
G000435555	s__Firmicutes bacterium CAG:176
G000435575	s__Clostridium sp. CAG:230
G000435595	s__Firmicutes bacterium CAG:882
G000435615	s__Firmicutes bacterium CAG:238
G000435635	s__Prevotella sp. CAG:1320
G000435655	s__Clostridium sp. CAG:299
G000435715	s__Firmicutes bacterium CAG:145
G000435735	s__Odoribacter splanchnicus CAG:14
G000435775	s__Firmicutes bacterium CAG:270
G000435795	s__Clostridium sp. CAG:58
G000435815	s__Eubacterium sp. CAG:192
G000435955	s__Erysipelotrichaceae bacterium CAG:64
G000435995	s__Firmicutes bacterium CAG:137
G000436035	s__Prevotella sp. CAG:732
G000436055	s__Bacteroides sp. CAG:714
G000436075	s__Eggerthella sp. CAG:209
G000436095	s__Phascolarctobacterium sp. CAG:266
G000436135	s__Bacteroides dorei CAG:222
G000436155	s__Clostridium sp. CAG:505
G000436195	s__Azospirillum sp. CAG:260
G000436215	s__Ruminococcus sp. CAG:177
G000436255	s__Clostridium sp. CAG:1193
G000436275	s__Firmicutes bacterium CAG:240
G000436295	s__Phascolarctobacterium sp. CAG:207
G000436395	s__Akkermansia muciniphila CAG:154
G000436415	s__Firmicutes bacterium CAG:102
G000436435	s__Bacteroides ovatus CAG:22
G000436455	s__Clostridium clostridioforme CAG:132
G000436475	s__Eubacterium sp. CAG:248
G000436535	s__Eubacterium sp. CAG:252
G000436595	s__Prevotella sp. CAG:1124
G000436635	s__Coprococcus sp. CAG:131
G000436675	s__Eubacterium sp. CAG:115
G000436695	s__Prevotella sp. CAG:1185
G000436775	s__Eubacterium sp. CAG:202
G000436795	s__Bacteroides sp. CAG:1076
G000436835	s__Eubacterium sp. CAG:251
G000436855	s__Bacteroides finegoldii CAG:203
G000436895	s__Paraprevotella clara CAG:116
G000436915	s__Prevotella sp. CAG:1092
G000436935	s__Firmicutes bacterium CAG:227
G000437015	s__Anaerotruncus sp. CAG:390
G000437075	s__Akkermansia sp. CAG:344
G000437175	s__Ruminococcus sp. CAG:330
G000437235	s__Coprobacillus sp. CAG:826
G000437255	s__Ruminococcus sp. CAG:403
G000437335	s__Bacillus sp. CAG:988
G000437375	s__Eubacterium sp. CAG:841
G000437395	s__Clostridium sp. CAG:288
G000437435	s__Clostridium sp. CAG:768
G000437495	s__Prevotella sp. CAG:485
G000437535	s__Prevotella stercorea CAG:629
G000437575	s__Clostridium sp. CAG:307
G000437615	s__Eubacterium dolichum CAG:375
G000437635	s__Sutterella sp. CAG:521
G000437655	s__Clostridium sp. CAG:729
G000437675	s__Prevotella sp. CAG:891
G000437715	s__Catenibacterium sp. CAG:290
G000437815	s__Acidaminococcus sp. CAG:542
G000437835	s__Methanoculleus sp. CAG:1088
G000437915	s__Subdoligranulum sp. CAG:314
G000437975	s__Eubacterium sp. CAG:581
G000437995	s__Bacteroides thetaiotaomicron CAG:40
G000438015	s__Coraliomargarita sp. CAG:312
G000438035	s__Bacteroides vulgatus CAG:6
G000438095	s__Clostridium sp. CAG:277
G000438215	s__Clostridium clostridioforme CAG:511
G000438275	s__Blautia sp. CAG:37
G000438295	s__Clostridium sp. CAG:451
G000438335	s__Dialister sp. CAG:588
G000438395	s__Bacteroides sp. CAG:98
G000438415	s__Clostridium sp. CAG:628
G000438435	s__Ruminococcus sp. CAG:624
G000438455	g__Nosocomiicoccus
G000438965	s__actinobacterium SCGC AAA028-I14
G000439085	s__Leminorella grimontii
G000439105	g__Terrisporobacter
G000439435	s__Spiroplasma taiwanense
G000441555	g__Ca. Profftella
G000442255	g__Salipiger
G000442275	g__Litoreibacter
G000442315	s__Rubellimicrobium thermophilum
G000442645	s__Corynebacterium maris
G000443165	s__Thauera terpenica
G000443995	s__Bacteriovorax sp. BAL6_X
G000444055	s__Alicyclobacillus acidoterrestris
G000444875	s__Streptomyces collinus
G000444995	s__Paracoccus aminophilus
G000445105	s__Sphingobium lactosutens
G000445145	s__Sphingobium baderi
G000445205	s__Desulfonauticus sp. A7A
G000445425	s__Borrelia miyamotoi
G000445445	g__Sporomusa
G000445475	s__Sulfurimonas hongkongensis
G000446015	s__Thermofilum adornatus
G000447205	s__Sphingobium ummariense
G000447225	s__Thermoplasmatales archaeon A-plasma
G000447315	s__Clostridium sp. BL8
G000447675	s__Treponema pedis
G000447755	s__Bacteriovorax sp. BSW11_IV
G000447775	s__Bacteriovorax sp. DB6_IX
G000447795	s__Bacteriovorax sp. Seq25_V
G000447865	s__haloarchaeon 3A1_DGR
G000452245	g__Paraclostridium
G000454045	s__Rhodococcus erythropolis
G000454065	s__Brevibacillus thermoruber
G000454725	s__Chlamydia ibidis
G000455225	s__Megasphaera massiliensis
G000455245	s__Nesterenkonia massiliensis
G000455265	s__Paenibacillus antibioticophila
G000455345	s__Halopiger goleamassiliensis
G000455365	s__Halopiger djelfamassiliensis
G000455445	s__Prevotella timonensis
G000455485	s__Gorillibacterium massiliense
G000455525	g__Ca. Microthrix
G000455605	s__Flavobacterium indicum
G000455825	s__Microbacterium maritypicum
G000463155	g__Siccibacter
G000463345	s__Serratia sp. ATCC 39006
G000463355	s__Streptococcus intermedius
G000463505	s__Streptococcus anginosus
G000463525	s__Marinimicrobium sp. LS-A18
G000463665	s__Cutibacterium granulosum
G000463895	s__Ca. TM7 bacterium JGI 0001002-L20
G000464595	s__Dehalococcoidia bacterium SCGC AB-539-J10
G000465555	s__Pantoea dispersa
G000466165	s__Actinobaculum sp. oral taxon 183
G000466245	s__Actinomyces johnsonii
G000466385	s__Aneurinibacillus aneurinilyticus
G000466425	s__Capnocytophaga sp. oral taxon 863
G000466465	s__Clostridium sp. KLE 1755
G000466585	s__Clostridiales bacterium oral taxon 876
G000466945	s__Novosphingobium tardaugens
G000466965	s__Loktanella cinnabarina
G000466985	s__Brevundimonas abyssalis
G000467065	s__Pseudomonas fuscovaginae
G000467125	s__Vibrio proteolyticus
G000467935	s__Peptostreptococcaceae bacterium oral taxon 113
G000468015	s__Ruminococcus callidus
G000468055	s__Treponema lecithinolyticum
G000468475	s__Actinomadura madurae
G000468495	s__Desulfovibrio gigas
G000468535	s__Peptoniphilus sp. ChDC B134
G000468615	s__Cellulophaga baltica
G000468755	s__Olsenella profusa
G000468855	s__Coriobacteriaceae bacterium BV3Ac1
G000469135	s__Bacillus sp. SB49
G000469155	s__alpha proteobacterium RS24
G000469325	s__Lactobacillus shenzhenensis
G000469345	s__Eubacterium ramulus
G000469445	s__Oscillibacter sp. KLE 1745
G000469465	s__Gemella bergeri
G000469485	s__Leifsonia aquatica
G000469545	s__Mitsuokella sp. oral taxon 131
G000469585	g__Chrysiogenes
G000469625	s__Clostridium intestinale
G000469665	s__Holospora obtusa
G000470655	s__Halorhabdus tiamatea
G000471045	s__actinobacterium LLX17
G000471625	s__Psychrobacter aquaticus
G000471645	s__Ca. Schmidhempelia bombi
G000471965	s__Blattabacterium sp. (Nauphoeta cinerea)
G000472185	s__Rhodobacteraceae bacterium HIMB11
G000472285	s__Desulfuromonas sp. TF
G000472385	s__Bradyrhizobium sp. ARR65
G000472425	s__Bradyrhizobium sp. Tv2a-2
G000472485	s__Pontibacter actiniarum
G000472505	s__Luteimonas sp. J29
G000472665	s__Acetobacterium dehalogenans
G000472805	s__Desulfosarcina sp. BuS5
G000472905	s__Alicyclobacillus pomorum
G000473085	s__Azorhizobium doebereinerae
G000473125	s__Bradyrhizobium genosp. SA-4
G000473145	s__Leisingera daeponensis
G000473205	g__Pseudophaeobacter
G000473225	g__Sedimentitalea
G000473245	s__Bacillus infantis
G000473305	s__Bacteroidales bacterium CF
G000473365	g__Adhaeribacter
G000473895	g__Rubidibacter
G000473995	s__Clostridium saccharobutylicum
G000474235	g__Halarchaeum
G000474745	c__Chitinivibrionia
G000474945	s__Solimonas soli
G000475255	s__Marinobacter sp. ES-1
G000475335	s__Acinetobacter sp. COS3
G000475415	s__Halomonas sp. PBN3
G000477435	g__Ca. Symbiobacter
G000477555	s__Leifsonia rubra
G000478195	g__Lyngbya
G000478585	s__Thiomicrospira sp. Kp2
G000478645	s__Latescibacteria bacterium SCGC AAA252-B13
G000478685	s__Ca. Photodesmus katoptron
G000478785	s__Deinococcus wulumuqiensis
G000478825	s__Synechocystis sp. PCC 6714
G000478885	g__Adlercreutzia
G000478905	s__Ca. Pantoea carbekii
G000478965	s__Megasphaera sp. BV3C16-1
G000478985	s__Peptoniphilus sp. BV3C26
G000479045	s__Cetobacterium somerae
G000482245	s__Leptolyngbya sp. Heron Island J
G000482325	s__Bacillus sp. UNC438CL73TsuS30
G000482385	s__Nocardia sp. CNY236
G000482465	s__Runella limosa
G000482485	s__Paucisalibacillus globulus
G000482545	s__Arthrobacter sp. 35W
G000482705	s__Glycomyces arizonensis
G000482725	s__Psychromonas arctica
G000482785	g__Derxia
G000482805	s__Deinococcus murrayi
G000482845	g__Anaerobiospirillum
G000482865	s__Actinokineospora inagensis
G000483025	s__delta proteobacterium PSCGC 5451
G000483125	s__Atopobium fossor
G000483165	s__Acholeplasma multilocale
G000483485	s__Thiomicrospira chilensis
G000484505	s__Clostridium autoethanogenum
G000484535	s__Gloeobacter kilaueensis
G000484595	s__Sporosarcina sp. EUR3 2.2.2
G000484635	s__Comamonas badia
G000484715	s__Deltaproteobacteria bacterium SCGC AAA003-F15
G000484935	s__Thaumarchaeota archaeon SCGC AAA287-E17
G000484975	s__Thaumarchaeota archaeon SCGC AAA282-K18
G000485155	s__delta proteobacterium JGI 0000059-K16
G000485475	g__Ca. Ancillula
G000485495	s__actinobacterium SCGC AAA044-D11
G000485775	s__Bacillus sp. NSP22.2
G000485815	s__Synechococcus sp. NKBG15041c
G000485905	s__Spiribacter curvatus
G000487995	g__Mucispirillum
G000488195	s__Acinetobacter gyllenbergii
G000488215	s__Acinetobacter nectaris
G000488275	s__Acinetobacter brisouii
G000488855	s__[Eubacterium] brachy
G000492175	s__Firmicutes bacterium ASF500
G000493735	s__Carnobacterium inhibens
G000493885	s__Chlamydia suis
G000493945	g__Ca. Hydrogenedens
G000493965	g__Ca. Aminicenans
G000494005	s__Cloacimonetes bacterium JGI OTU-5
G000494205	s__crenarchaeote JGI-OTU-1
G000494225	g__Ca. Calescibacterium
G000494245	g__Ca. Fervidibacter
G000494755	s__Actinoplanes friuliensis
G000495255	s__Wheat blue dwarf phytoplasma
G000495435	s__Youngiibacter fragilis
G000495475	g__Ca. Halobonum
G000495505	s__Campylobacter fetus
G000495615	s__uncultured Thiohalocapsa sp. PB-PSB1
G000495675	s__uncultured Acidilobus sp. MG
G000495695	s__uncultured Acidilobus sp. CIS
G000495715	s__uncultured Acidilobus sp. OSP8
G000495735	s__uncultured Acidilobus sp. JCHS
G000495815	s__Asticcacaulis sp. AC466
G000495855	s__Asticcacaulis sp. YBE204
G000495935	g__Elizabethkingia
G000496075	g__Lutibaculum
G000496135	s__Thermoplasmatales archaeon E-plasma
G000496175	s__uncultured archaeon A07HR67
G000496195	s__uncultured archaeon A07HB70
G000496215	s__uncultured archaeon A07HN63
G000496235	s__uncultured archaeon A07HR60
G000496475	s__Betaproteobacteria bacterium MOLA814
G000496595	s__Ca. Liberibacter americanus
G000496735	g__Methyloglobulus
G000496835	s__Thalassobacillus devorans
G000496855	g__Sediminibacillus
G000497205	s__Saccharopolyspora rectivirgula
G000497245	s__Sporolactobacillus laevolacticus
G000497405	s__Streptomycetaceae bacterium MP113-05
G000497425	s__Streptomyces niveus
G000497445	s__Streptomyces roseochromogenus
G000497755	g__Aliihoeflea
G000498295	g__Vagococcus
G000498355	s__Clostridium sp. Ade.TY
G000498475	s__Flavobacterium cauense
G000498495	s__Flavobacterium enshiense
G000498575	s__Pseudomonas taeanensis
G000498955	s__Lactobacillus fabifermentans
G000499525	g__Romboutsia
G000499765	s__Methanobacterium sp. MB1
G000499785	s__Bacteroides neonati
G000500045	s__Borrelia persica
G000500065	s__Borrelia hispanica
G000500935	s__Spiroplasma apis
G000503775	s__Brevibacillus panacihumi
G000503835	s__Ca. WWE3 bacterium RAAC2_WWE3_1
G000503895	s__Hyphomicrobium nitrativorans
G000503915	s__Ca. Saccharibacteria bacterium RAAC3_TM7_1
G000504125	s__Enterococcus mundtii
G000504145	s__Bacillus cihuensis
G000504165	s__Bacillus sp. FJAT-14578
G000504185	s__Rhodobacteraceae bacterium PD-2
G000504205	s__Methanolobus tindarius
G000504245	s__Amycolatopsis halophila
G000504285	f__Actinospicaceae
G000505545	s__Kurthia huakuii
G000505665	s__Thermosynechococcus sp. NK55a
G000506865	g__Pelistega
G000507245	s__Salinispira pacifica
G000507845	s__Helicobacter macacae
G000507865	s__Helicobacter canis
G000508085	s__Sediminibacterium sp. C3
G000508165	s__Marinomonas profundimaris
G000508185	s__Sphingobium sp. C100
G000508225	s__Ehrlichia muris
G000508325	s__Bacillus vireti
G000508965	s__Clostridiales bacterium VE202-08
G000509225	s__alpha proteobacterium Mf 1.05b.01
G000509365	s__Helicobacter fennelliae
G000509405	s__Tenacibaculum maritimum
G000509875	s__Campylobacter jejuni
G000510425	s__[Eubacterium] nodatum
G000510645	f__Bacillales Family X. Incertae Sedis
G000510805	g__Ignatzschineria
G000511135	s__Microbispora sp. ATCC PTA-5024
G000511175	s__Sediminibacterium salmoneum
G000511305	s__Rhodococcus pyridinivorans
G000511355	s__Leisingera methylohalidivorans
G000511385	s__Phaeobacter gallaeciensis
G000511655	s__Psychrobacter sp. TB15
G000511775	s__Bacteroides pyogenes
G000511875	s__Gammaproteobacteria bacterium MOLA455
G000511955	s__[Clostridium] ultunense
G000512205	s__Sphingomonas sanxanigenens
G000512235	f__Syntrophorhabdaceae
G000512355	s__Legionella oakridgensis
G000512675	g__Ca. Xenolissoclinum
G000512735	s__Thermocrinis ruber
G000512895	g__Dehalobacter
G000512915	s__Barnesiella viscericola
G000513095	s__Bacillus wakoensis
G000513115	s__Bacillus hemicellulosilyticus
G000513135	s__Bacillus akibai
G000513215	s__Serratia marcescens
G000513275	s__Paenibacillus gorillae
G000513295	s__Magnetospirillum gryphiswaldense
G000513315	s__Methanobrevibacter arboriphilus
G000513475	g__Ca. Babela
G000513775	s__Treponema phagedenis
G000513855	s__Desulfurococcus amylolyticus
G000513975	s__Paracoccus sp. J55
G000515115	s__Nocardiopsis sp. CNT312
G000515235	s__Synechococcus sp. CC9616
G000515255	g__Rhodovibrio
G000515275	s__Methylophilus sp. 5
G000515315	g__Asinibacterium
G000515335	s__Cohnella panacarvi
G000515395	s__Jiangella gansuensis
G000516515	s__Chloroflexus sp. Y-396-1
G000516555	s__Afipia sp. P52-10
G000517025	s__Halonatronum saccharophilum
G000517065	s__Alkaliflexus imshenetskii
G000517105	s__Fischerella sp. PCC 9605
G000517385	s__Bacillus boroniphilus
G000517425	s__Sodalis praecaptivus
G000517445	s__Thermococcus paralvinellae
G000517545	s__Bacteroides reticulotermitis
G000517565	g__Desulfurella
G000517625	s__Halostagnicola larsenii
G000518205	s__Facklamia sourekii
G000518225	s__Helicobacter pametensis
G000518245	s__Brachyspira alvinipulli
G000518265	s__Actinomadura oligospora
G000518285	s__Entomoplasma lucivorax
G000518305	s__Mycoplasma imitans
G000518365	s__Rhodospirillales bacterium URHD0088
G000518485	g__Olleya
G000518585	s__Agrobacterium larrymoorei
G000518665	s__Microvirga flocculans
G000518685	s__Eubacterium xylanophilum
G000518705	s__Shewanella colwelliana
G000518745	g__Phaseolibacter
G000518785	s__Rhizobium selenitireducens
G000518805	s__Shewanella waksmanii
G000518865	s__Bacillus sp. J37
G000518985	s__Chelativorans sp. J32
G000519005	s__Nocardioides sp. J54
